"h2","var.z","p0","t","nbar","nvar","nn"
0.25,0.1,0.964285714285714,2,1244.34615384615,55591.9153846154,26
0.25,0.1,0.964285714285714,3,708.730769230769,64948.6046153846,26
0.25,0.1,0.964285714285714,4,444.846153846154,32860.0553846154,26
0.25,0.1,0.964285714285714,5,323.461538461538,21334.4184615385,26
0.25,0.1,0.964285714285714,6,340.230769230769,27638.8246153846,26
0.25,0.1,0.964285714285714,7,325,41325.6,26
0.25,0.1,0.964285714285714,8,341.076923076923,48369.8338461538,26
0.25,0.1,0.964285714285714,9,394.807692307692,104366.961538462,26
0.25,0.1,0.964285714285714,10,487.423076923077,235022.733846154,26
0.25,0.1,0.964285714285714,11,582,433045.76,26
0.25,0.1,0.964285714285714,12,704.423076923077,933163.293846154,26
0.25,0.1,0.964285714285714,13,868.192307692308,1812528.00153846,26
0.25,0.1,0.964285714285714,14,1206.15384615385,3887560.21538462,26
0.25,0.1,0.964285714285714,15,1655.38461538462,7463953.84615385,26
0.25,0.1,0.964285714285714,16,1953.92307692308,9149437.11384615,26
0.25,0.1,0.964285714285714,17,2223.84615384615,10143672.7753846,26
0.25,0.1,0.964285714285714,18,2673.23076923077,12287701.5446154,26
0.25,0.1,0.964285714285714,19,2911.15384615385,11413662.1353846,26
0.25,0.1,0.964285714285714,20,3416.5,14279127.06,26
0.25,0.1,0.964285714285714,21,3886.15384615385,16300779.0953846,26
0.25,0.1,0.964285714285714,22,4399.57692307692,19555359.3738462,26
0.25,0.1,0.964285714285714,23,4931.42307692308,23560575.8538462,26
0.25,0.1,0.964285714285714,24,5449.34615384615,24743782.9553846,26
0.25,0.1,0.964285714285714,25,6022.30769230769,26187448.7815385,26
0.25,0.1,0.964285714285714,26,6474.46153846154,26643411.2984615,26
0.25,0.1,0.964285714285714,27,6776.42307692308,27908978.6538462,26
0.25,0.1,0.964285714285714,28,7009,26221249.76,26
0.25,0.1,0.964285714285714,29,7546.03846153846,25597127.7184615,26
0.25,0.1,0.964285714285714,30,7787.96153846154,24755429.4784615,26
0.25,0.1,0.964285714285714,31,8223.69230769231,25685011.5015385,26
0.25,0.1,0.964285714285714,32,8589.69230769231,27564946.5415385,26
0.25,0.1,0.964285714285714,33,8923.38461538462,27677468.7261538,26
0.25,0.1,0.964285714285714,34,9200.76923076923,27851645.4646154,26
0.25,0.1,0.964285714285714,35,9413.19230769231,28183892.7215385,26
0.25,0.1,0.964285714285714,36,9663.5,27661047.22,26
0.25,0.1,0.964285714285714,37,9969.80769230769,27387112.9615385,26
0.25,0.1,0.964285714285714,38,10262.8076923077,29684338.2415385,26
0.25,0.1,0.964285714285714,39,10502.1538461538,27579331.6553846,26
0.25,0.1,0.964285714285714,40,10690.2692307692,29771851.6446154,26
0.25,0.1,0.964285714285714,41,10893,27412226.16,26
0.25,0.1,0.964285714285714,42,11033.9230769231,26821927.8338462,26
0.25,0.1,0.964285714285714,43,11036.6538461538,23544847.3553846,26
