"t","n","trial","p0","h2","var.z"
81,20907,4,0.964285714285714,0.25,0.1
82,19995,4,0.964285714285714,0.25,0.1
83,18206,4,0.964285714285714,0.25,0.1
84,19300,4,0.964285714285714,0.25,0.1
85,17402,4,0.964285714285714,0.25,0.1
86,19363,4,0.964285714285714,0.25,0.1
87,19059,4,0.964285714285714,0.25,0.1
88,19259,4,0.964285714285714,0.25,0.1
89,19633,4,0.964285714285714,0.25,0.1
90,19797,4,0.964285714285714,0.25,0.1
91,17436,4,0.964285714285714,0.25,0.1
92,19049,4,0.964285714285714,0.25,0.1
93,17932,4,0.964285714285714,0.25,0.1
94,18587,4,0.964285714285714,0.25,0.1
95,20368,4,0.964285714285714,0.25,0.1
96,19909,4,0.964285714285714,0.25,0.1
97,22180,4,0.964285714285714,0.25,0.1
98,20161,4,0.964285714285714,0.25,0.1
99,19053,4,0.964285714285714,0.25,0.1
100,21002,4,0.964285714285714,0.25,0.1
0,20000,5,0.964285714285714,0.25,0.1
1,3851,5,0.964285714285714,0.25,0.1
2,2007,5,0.964285714285714,0.25,0.1
3,1125,5,0.964285714285714,0.25,0.1
4,536,5,0.964285714285714,0.25,0.1
5,217,5,0.964285714285714,0.25,0.1
6,109,5,0.964285714285714,0.25,0.1
7,2,5,0.964285714285714,0.25,0.1
0,20000,6,0.964285714285714,0.25,0.1
1,3837,6,0.964285714285714,0.25,0.1
2,1736,6,0.964285714285714,0.25,0.1
3,424,6,0.964285714285714,0.25,0.1
4,230,6,0.964285714285714,0.25,0.1
5,2,6,0.964285714285714,0.25,0.1
0,20000,7,0.964285714285714,0.25,0.1
1,3143,7,0.964285714285714,0.25,0.1
2,1508,7,0.964285714285714,0.25,0.1
3,446,7,0.964285714285714,0.25,0.1
4,221,7,0.964285714285714,0.25,0.1
5,116,7,0.964285714285714,0.25,0.1
6,54,7,0.964285714285714,0.25,0.1
7,64,7,0.964285714285714,0.25,0.1
8,2,7,0.964285714285714,0.25,0.1
0,20000,8,0.964285714285714,0.25,0.1
1,3741,8,0.964285714285714,0.25,0.1
2,1479,8,0.964285714285714,0.25,0.1
3,887,8,0.964285714285714,0.25,0.1
4,402,8,0.964285714285714,0.25,0.1
5,137,8,0.964285714285714,0.25,0.1
0,20000,9,0.964285714285714,0.25,0.1
1,3627,9,0.964285714285714,0.25,0.1
2,1451,9,0.964285714285714,0.25,0.1
3,531,9,0.964285714285714,0.25,0.1
4,331,9,0.964285714285714,0.25,0.1
5,292,9,0.964285714285714,0.25,0.1
6,276,9,0.964285714285714,0.25,0.1
7,264,9,0.964285714285714,0.25,0.1
8,168,9,0.964285714285714,0.25,0.1
9,113,9,0.964285714285714,0.25,0.1
10,2,9,0.964285714285714,0.25,0.1
0,20000,10,0.964285714285714,0.25,0.1
1,3922,10,0.964285714285714,0.25,0.1
2,1320,10,0.964285714285714,0.25,0.1
3,916,10,0.964285714285714,0.25,0.1
4,439,10,0.964285714285714,0.25,0.1
5,175,10,0.964285714285714,0.25,0.1
6,2,10,0.964285714285714,0.25,0.1
0,20000,11,0.964285714285714,0.25,0.1
1,3445,11,0.964285714285714,0.25,0.1
2,1692,11,0.964285714285714,0.25,0.1
3,896,11,0.964285714285714,0.25,0.1
4,307,11,0.964285714285714,0.25,0.1
5,63,11,0.964285714285714,0.25,0.1
0,20000,12,0.964285714285714,0.25,0.1
1,2292,12,0.964285714285714,0.25,0.1
2,836,12,0.964285714285714,0.25,0.1
3,514,12,0.964285714285714,0.25,0.1
4,313,12,0.964285714285714,0.25,0.1
5,209,12,0.964285714285714,0.25,0.1
6,109,12,0.964285714285714,0.25,0.1
7,1,12,0.964285714285714,0.25,0.1
0,20000,13,0.964285714285714,0.25,0.1
1,3523,13,0.964285714285714,0.25,0.1
2,1575,13,0.964285714285714,0.25,0.1
3,788,13,0.964285714285714,0.25,0.1
4,385,13,0.964285714285714,0.25,0.1
5,212,13,0.964285714285714,0.25,0.1
6,124,13,0.964285714285714,0.25,0.1
7,106,13,0.964285714285714,0.25,0.1
0,20000,14,0.964285714285714,0.25,0.1
1,3083,14,0.964285714285714,0.25,0.1
2,1297,14,0.964285714285714,0.25,0.1
3,696,14,0.964285714285714,0.25,0.1
4,590,14,0.964285714285714,0.25,0.1
5,458,14,0.964285714285714,0.25,0.1
6,55,14,0.964285714285714,0.25,0.1
7,2,14,0.964285714285714,0.25,0.1
0,20000,15,0.964285714285714,0.25,0.1
1,2518,15,0.964285714285714,0.25,0.1
2,1158,15,0.964285714285714,0.25,0.1
3,608,15,0.964285714285714,0.25,0.1
4,382,15,0.964285714285714,0.25,0.1
5,110,15,0.964285714285714,0.25,0.1
6,60,15,0.964285714285714,0.25,0.1
7,117,15,0.964285714285714,0.25,0.1
8,4,15,0.964285714285714,0.25,0.1
0,20000,16,0.964285714285714,0.25,0.1
1,3569,16,0.964285714285714,0.25,0.1
2,1074,16,0.964285714285714,0.25,0.1
3,387,16,0.964285714285714,0.25,0.1
4,261,16,0.964285714285714,0.25,0.1
5,128,16,0.964285714285714,0.25,0.1
6,115,16,0.964285714285714,0.25,0.1
7,45,16,0.964285714285714,0.25,0.1
8,59,16,0.964285714285714,0.25,0.1
9,57,16,0.964285714285714,0.25,0.1
10,63,16,0.964285714285714,0.25,0.1
0,20000,17,0.964285714285714,0.25,0.1
1,3642,17,0.964285714285714,0.25,0.1
2,1512,17,0.964285714285714,0.25,0.1
3,374,17,0.964285714285714,0.25,0.1
4,213,17,0.964285714285714,0.25,0.1
5,2,17,0.964285714285714,0.25,0.1
0,20000,18,0.964285714285714,0.25,0.1
1,3219,18,0.964285714285714,0.25,0.1
2,1591,18,0.964285714285714,0.25,0.1
3,786,18,0.964285714285714,0.25,0.1
4,580,18,0.964285714285714,0.25,0.1
5,72,18,0.964285714285714,0.25,0.1
0,20000,19,0.964285714285714,0.25,0.1
1,2858,19,0.964285714285714,0.25,0.1
2,1093,19,0.964285714285714,0.25,0.1
3,749,19,0.964285714285714,0.25,0.1
4,434,19,0.964285714285714,0.25,0.1
5,260,19,0.964285714285714,0.25,0.1
6,164,19,0.964285714285714,0.25,0.1
7,62,19,0.964285714285714,0.25,0.1
8,60,19,0.964285714285714,0.25,0.1
9,1,19,0.964285714285714,0.25,0.1
0,20000,1000,0.964285714285714,0.25,0.1
1,3056,1000,0.964285714285714,0.25,0.1
2,671,1000,0.964285714285714,0.25,0.1
3,55,1000,0.964285714285714,0.25,0.1
4,2,1000,0.964285714285714,0.25,0.1
0,20000,1001,0.75,0.25,0.1
1,3166,1001,0.75,0.25,0.1
2,962,1001,0.75,0.25,0.1
3,303,1001,0.75,0.25,0.1
4,131,1001,0.75,0.25,0.1
5,31,1001,0.75,0.25,0.1
6,12,1001,0.75,0.25,0.1
7,1,1001,0.75,0.25,0.1
0,20000,1002,0.75,0.25,0.1
1,3244,1002,0.75,0.25,0.1
2,1083,1002,0.75,0.25,0.1
3,478,1002,0.75,0.25,0.1
4,204,1002,0.75,0.25,0.1
5,77,1002,0.75,0.25,0.1
6,24,1002,0.75,0.25,0.1
7,9,1002,0.75,0.25,0.1
0,20000,1003,0.75,0.25,0.1
1,3209,1003,0.75,0.25,0.1
2,1017,1003,0.75,0.25,0.1
3,299,1003,0.75,0.25,0.1
4,142,1003,0.75,0.25,0.1
5,76,1003,0.75,0.25,0.1
6,31,1003,0.75,0.25,0.1
7,13,1003,0.75,0.25,0.1
8,25,1003,0.75,0.25,0.1
9,54,1003,0.75,0.25,0.1
10,42,1003,0.75,0.25,0.1
11,30,1003,0.75,0.25,0.1
12,21,1003,0.75,0.25,0.1
13,5,1003,0.75,0.25,0.1
